image_name,image_path,overall_risk_percent,detections_count,json_result_path
3_PNG.rf.50d8e017fbf0333c81f3326402454080.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\3_PNG.rf.50d8e017fbf0333c81f3326402454080.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\3_PNG.rf.50d8e017fbf0333c81f3326402454080_20260327_161323_904751.json
22_PNG.rf.bce9c0169a12a4af31643b25116c430d.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\22_PNG.rf.bce9c0169a12a4af31643b25116c430d.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\22_PNG.rf.bce9c0169a12a4af31643b25116c430d_20260327_161510_019926.json
36_PNG.rf.9de400f298b9d9e30b6ce57438d9ee82.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\36_PNG.rf.9de400f298b9d9e30b6ce57438d9ee82.jpg,20,2,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\36_PNG.rf.9de400f298b9d9e30b6ce57438d9ee82_20260327_162204_532539.json
synthetic_card__00601.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\synthetic_card__00601.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\synthetic_card__00601_20260327_162257_926864.json
9f057dedc866a3d96d0077bdedbeacbe_jpg.rf.73ca291f8aaa857a99e087bd660c63d5.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\9f057dedc866a3d96d0077bdedbeacbe_jpg.rf.73ca291f8aaa857a99e087bd660c63d5.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\9f057dedc866a3d96d0077bdedbeacbe_jpg.rf.73ca291f8aaa857a99e087bd660c63d5_20260327_163018_552128.json
34_jpg.rf.b50411ef6abe2989783b663e7809024a.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\34_jpg.rf.b50411ef6abe2989783b663e7809024a.jpg,20,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\34_jpg.rf.b50411ef6abe2989783b663e7809024a_20260327_163059_548933.json
4a8c6a2bbfaad2eae7093f43ad216ed5_jpg.rf.83c89213c3d8f73f550f2462ea9b7107.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\4a8c6a2bbfaad2eae7093f43ad216ed5_jpg.rf.83c89213c3d8f73f550f2462ea9b7107.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\4a8c6a2bbfaad2eae7093f43ad216ed5_jpg.rf.83c89213c3d8f73f550f2462ea9b7107_20260327_163229_999906.json
image1.jpeg,C:\Users\aviya\OneDrive\Desktop\פרויקט גמר\LeakLock-1\uploaded_images\image1.jpeg,12,2,C:\Users\aviya\OneDrive\Desktop\פרויקט גמר\LeakLock-1\analysis_results\json\image1_20260328_150616_447406.json
WhatsApp Image 2026-03-28 at 16.10.15.jpeg,C:\Users\aviya\OneDrive\Desktop\פרויקט גמר\LeakLock-1\uploaded_images\WhatsApp Image 2026-03-28 at 16.10.15.jpeg,14,1,C:\Users\aviya\OneDrive\Desktop\פרויקט גמר\LeakLock-1\analysis_results\json\WhatsApp Image 2026-03-28 at 16.10.15_20260328_161059_349151.json
medical.jpg,C:\Users\aviya\OneDrive\Desktop\פרויקט גמר\LeakLock-1\uploaded_images\medical.jpg,12,2,C:\Users\aviya\OneDrive\Desktop\פרויקט גמר\LeakLock-1\analysis_results\json\medical_20260328_162354_194469.json
