epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1027.8,0.74605,0.52704,1.05184,0.96501,0.93235,0.9727,0.82278,0.76249,0.46446,1.00673,0.00058175,0.00058175,0.00058175
29,1063.43,0.75198,0.52745,1.05296,0.93331,0.95367,0.96902,0.82469,0.79068,0.4278,1.03419,0.000557,0.000557,0.000557
30,1099.07,0.73426,0.50811,1.04372,0.87921,0.96336,0.97705,0.83329,0.76868,0.42281,1.0122,0.00053225,0.00053225,0.00053225
31,1134.5,0.72705,0.5058,1.04289,0.96977,0.95749,0.98495,0.81813,0.78855,0.42027,1.02197,0.0005075,0.0005075,0.0005075
32,1170.25,0.71391,0.4976,1.03263,0.94938,0.96572,0.97425,0.82991,0.76729,0.41105,1.01958,0.00048275,0.00048275,0.00048275
33,1205.84,0.71529,0.49676,1.03715,0.95669,0.97429,0.9853,0.8282,0.7572,0.4176,1.01228,0.000458,0.000458,0.000458
34,1242.09,0.70841,0.4911,1.02776,0.95891,0.96088,0.98053,0.83233,0.76998,0.3995,1.01832,0.00043325,0.00043325,0.00043325
35,1279.24,0.68671,0.47962,1.0249,0.93704,0.97487,0.98523,0.84328,0.73645,0.39127,1.00687,0.0004085,0.0004085,0.0004085
36,1318.68,0.68468,0.47469,1.02162,0.96606,0.96923,0.98176,0.83331,0.74497,0.4419,1.01278,0.00038375,0.00038375,0.00038375
37,1358.19,0.69205,0.47373,1.02393,0.95084,0.93565,0.97033,0.81905,0.77336,0.42851,1.033,0.000359,0.000359,0.000359
38,1400.23,0.66847,0.45487,1.01288,0.9422,0.96544,0.97942,0.83226,0.74624,0.40791,1.00813,0.00033425,0.00033425,0.00033425
39,1441.05,0.67119,0.45772,1.01504,0.9494,0.94103,0.97629,0.83427,0.74957,0.39046,1.02328,0.0003095,0.0003095,0.0003095
40,1486.19,0.65944,0.44724,1.00417,0.95195,0.97842,0.98698,0.84064,0.74036,0.37819,1.00754,0.00028475,0.00028475,0.00028475
41,1587.65,0.62718,0.3571,0.98585,0.96021,0.97459,0.98686,0.84117,0.75025,0.39777,1.02665,0.00026,0.00026,0.00026
42,1632.37,0.59918,0.34009,0.96703,0.96189,0.95493,0.97171,0.83777,0.74339,0.38247,1.0308,0.00023525,0.00023525,0.00023525
43,1669.82,0.59135,0.33093,0.97006,0.95933,0.98003,0.98654,0.85584,0.72595,0.36729,1.00846,0.0002105,0.0002105,0.0002105
44,1712.97,0.5804,0.3281,0.9609,0.96133,0.96617,0.98675,0.84735,0.74634,0.37312,1.01915,0.00018575,0.00018575,0.00018575
45,1749.43,0.57268,0.31694,0.96087,0.95814,0.95965,0.98443,0.85207,0.71943,0.36284,1.00211,0.000161,0.000161,0.000161
46,1786.37,0.55692,0.31394,0.95029,0.9733,0.97486,0.98786,0.85573,0.71316,0.36082,1.00202,0.00013625,0.00013625,0.00013625
47,1822.77,0.54755,0.30468,0.94477,0.94992,0.98128,0.98796,0.84923,0.73258,0.3611,1.02048,0.0001115,0.0001115,0.0001115
48,1859.47,0.53528,0.30016,0.93911,0.97383,0.97402,0.989,0.85755,0.72456,0.35235,1.01675,8.675e-05,8.675e-05,8.675e-05
49,1896.27,0.53331,0.29434,0.93366,0.97634,0.974,0.98732,0.85497,0.7256,0.35193,1.0189,6.2e-05,6.2e-05,6.2e-05
50,1937.6,0.52282,0.28465,0.92649,0.97508,0.97671,0.98846,0.85209,0.72834,0.35447,1.02152,3.725e-05,3.725e-05,3.725e-05
