epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5613,1.10809,2.13558,1.30904,0.8004,0.7237,0.82557,0.57813,1.08987,1.40251,1.24666,0.000415039,0.000415039,0.000415039
2,84.1726,1.11444,1.44218,1.26697,0.85448,0.82219,0.8839,0.61088,1.07918,0.99354,1.22813,0.000815238,0.000815238,0.000815238
3,121.146,1.12313,1.21123,1.26189,0.83669,0.6802,0.82844,0.59397,1.09906,1.11578,1.27252,0.00119894,0.00119894,0.00119894
4,160.11,1.08741,1.08802,1.24227,0.85008,0.88524,0.92429,0.67697,1.01661,0.90523,1.13734,0.00117575,0.00117575,0.00117575
5,197.755,1.0558,1.00324,1.22655,0.78754,0.8162,0.88374,0.66644,1.01571,0.86878,1.16777,0.001151,0.001151,0.001151
6,233.513,1.00698,0.90458,1.19474,0.89562,0.87616,0.93024,0.71001,0.94726,0.69243,1.11325,0.00112625,0.00112625,0.00112625
7,270.05,0.9895,0.84878,1.17952,0.86293,0.86284,0.9262,0.73292,0.89697,0.70437,1.08241,0.0011015,0.0011015,0.0011015
8,310.144,0.96585,0.80659,1.1653,0.90262,0.8668,0.93983,0.73494,0.88783,0.73077,1.07445,0.00107675,0.00107675,0.00107675
9,346.039,0.92771,0.77918,1.14678,0.90394,0.89296,0.96191,0.75554,0.88231,0.61837,1.06396,0.001052,0.001052,0.001052
10,381.809,0.9293,0.77651,1.14704,0.91246,0.90388,0.96782,0.78043,0.82831,0.56268,1.03756,0.00102725,0.00102725,0.00102725
11,417.864,0.90674,0.7357,1.13804,0.89727,0.86625,0.93906,0.72753,0.94517,0.63653,1.1382,0.0010025,0.0010025,0.0010025
12,453.576,0.90112,0.71626,1.13485,0.91265,0.88967,0.94333,0.75999,0.86245,0.5781,1.07686,0.00097775,0.00097775,0.00097775
13,489.125,0.89208,0.70305,1.12264,0.92448,0.94455,0.95796,0.79134,0.80116,0.55835,1.02634,0.000953,0.000953,0.000953
14,524.8,0.85181,0.66847,1.11114,0.86795,0.90419,0.95756,0.80461,0.8232,0.54013,1.04586,0.00092825,0.00092825,0.00092825
15,560.717,0.8552,0.66551,1.10206,0.94539,0.93887,0.97411,0.80468,0.79577,0.49975,1.01563,0.0009035,0.0009035,0.0009035
16,596.645,0.85568,0.64961,1.11041,0.93184,0.94118,0.96507,0.79099,0.84184,0.57347,1.05529,0.00087875,0.00087875,0.00087875
17,632.024,0.84278,0.63858,1.09862,0.93382,0.92709,0.97162,0.79596,0.82446,0.4785,1.019,0.000854,0.000854,0.000854
18,668.807,0.83689,0.63957,1.10111,0.93746,0.94681,0.97561,0.80337,0.81683,0.49739,1.03815,0.00082925,0.00082925,0.00082925
19,705.157,0.82483,0.61289,1.09284,0.94692,0.9091,0.97017,0.80833,0.7915,0.55248,1.00937,0.0008045,0.0008045,0.0008045
20,741.207,0.81654,0.60955,1.08461,0.94388,0.92986,0.96725,0.81638,0.79979,0.47475,1.03209,0.00077975,0.00077975,0.00077975
21,777.194,0.81135,0.59753,1.08531,0.96105,0.98223,0.98492,0.82928,0.79634,0.45472,1.01842,0.000755,0.000755,0.000755
22,812.957,0.79358,0.57825,1.07602,0.90944,0.95043,0.9815,0.8229,0.79175,0.45748,1.02122,0.00073025,0.00073025,0.00073025
23,848.942,0.79114,0.57197,1.07136,0.93667,0.96162,0.98002,0.83661,0.76257,0.46817,1.01402,0.0007055,0.0007055,0.0007055
24,884.683,0.77347,0.56583,1.06579,0.94762,0.94945,0.98098,0.8276,0.76915,0.44403,1.01481,0.00068075,0.00068075,0.00068075
25,920.406,0.76157,0.55163,1.05728,0.93226,0.97085,0.97978,0.82546,0.76463,0.43408,1.01149,0.000656,0.000656,0.000656
26,955.97,0.76292,0.54437,1.05714,0.94402,0.9492,0.97167,0.81596,0.78897,0.46588,1.02768,0.00063125,0.00063125,0.00063125
27,992.061,0.75148,0.53935,1.05611,0.93403,0.94885,0.97049,0.82757,0.774,0.43821,1.02682,0.0006065,0.0006065,0.0006065
