epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,560.903,0.67438,2.10378,0.96624,0.66603,0.55175,0.577,0.46682,0.60012,0.8346,0.95245,0.00333223,0.00333223,0.00333223
2,1086.5,0.68237,1.17388,0.95345,0.71751,0.69868,0.72712,0.56864,0.60163,0.70872,0.95975,0.00653359,0.00653359,0.00653359
3,1602.3,0.7315,0.98416,0.97674,0.73896,0.67261,0.73983,0.56984,0.61064,0.69045,0.96337,0.00960294,0.00960294,0.00960294
4,2115.55,0.7169,0.88398,0.9713,0.81274,0.77905,0.83135,0.64111,0.56096,0.54351,0.95235,0.009406,0.009406,0.009406
5,2630.14,0.66678,0.77008,0.95389,0.84117,0.76353,0.85653,0.6935,0.51727,0.47766,0.91769,0.009208,0.009208,0.009208
6,3150.91,0.63534,0.70761,0.94065,0.83646,0.82859,0.86797,0.7052,0.4916,0.43294,0.91231,0.00901,0.00901,0.00901
7,3670.12,0.61239,0.65837,0.93116,0.84576,0.84025,0.88942,0.74583,0.46298,0.39157,0.89361,0.008812,0.008812,0.008812
8,4187.23,0.59461,0.62543,0.92361,0.83299,0.86683,0.89961,0.75642,0.44779,0.36823,0.88035,0.008614,0.008614,0.008614
9,4705.69,0.57961,0.60092,0.91856,0.87134,0.85703,0.9092,0.76262,0.43818,0.35329,0.8783,0.008416,0.008416,0.008416
10,5224.61,0.57492,0.58328,0.91724,0.89202,0.88188,0.92095,0.77952,0.42788,0.33847,0.87129,0.008218,0.008218,0.008218
11,5732.87,0.56496,0.56623,0.91159,0.90419,0.87939,0.92275,0.79508,0.41782,0.3281,0.86437,0.00802,0.00802,0.00802
12,6241.54,0.55644,0.5555,0.90856,0.91675,0.88242,0.93466,0.80129,0.4102,0.31655,0.86137,0.007822,0.007822,0.007822
13,6768.95,0.54854,0.53925,0.90506,0.8907,0.89675,0.93335,0.80346,0.40555,0.30974,0.85729,0.007624,0.007624,0.007624
14,7280.54,0.54541,0.52965,0.90466,0.90434,0.89384,0.93748,0.80954,0.40048,0.30013,0.85626,0.007426,0.007426,0.007426
15,7798.27,0.53632,0.51786,0.89994,0.91547,0.90623,0.94029,0.81447,0.39764,0.29395,0.85428,0.007228,0.007228,0.007228
16,8310.25,0.53342,0.51414,0.90032,0.92709,0.90303,0.94325,0.81971,0.39311,0.29084,0.8518,0.00703,0.00703,0.00703
17,8822.37,0.52945,0.501,0.8983,0.92937,0.90222,0.94318,0.8199,0.3905,0.28797,0.85013,0.006832,0.006832,0.006832
18,9335,0.52401,0.49274,0.89551,0.92506,0.9047,0.94303,0.82136,0.38887,0.28518,0.84947,0.006634,0.006634,0.006634
19,9845.09,0.52046,0.48873,0.89534,0.92216,0.90786,0.94447,0.82505,0.38683,0.28104,0.84832,0.006436,0.006436,0.006436
20,10357.9,0.51404,0.479,0.89214,0.92681,0.90734,0.94478,0.82403,0.3851,0.2786,0.84732,0.006238,0.006238,0.006238
21,10872.1,0.50904,0.47271,0.89062,0.92821,0.9083,0.94523,0.82583,0.38338,0.27733,0.84636,0.00604,0.00604,0.00604
22,11387.5,0.50931,0.46778,0.89198,0.9265,0.90483,0.945,0.82788,0.38162,0.27543,0.84522,0.005842,0.005842,0.005842
23,11903.8,0.50298,0.45818,0.88893,0.92398,0.90987,0.94609,0.82864,0.38054,0.27399,0.84459,0.005644,0.005644,0.005644
24,12433.5,0.50314,0.45454,0.88863,0.92847,0.9054,0.94656,0.83012,0.37937,0.27236,0.84391,0.005446,0.005446,0.005446
25,12964.3,0.4995,0.44835,0.88733,0.93042,0.90603,0.94704,0.83082,0.37809,0.27066,0.84324,0.005248,0.005248,0.005248
26,13489.3,0.49493,0.44216,0.88467,0.93137,0.90669,0.94789,0.83144,0.37723,0.26924,0.84281,0.00505,0.00505,0.00505
27,14008,0.48823,0.43399,0.8822,0.93184,0.90794,0.94798,0.83127,0.37622,0.26769,0.84237,0.004852,0.004852,0.004852
28,14526.1,0.48683,0.43209,0.88324,0.93398,0.90725,0.95011,0.83144,0.37534,0.26612,0.84198,0.004654,0.004654,0.004654
29,15046,0.48498,0.42447,0.88224,0.9369,0.90732,0.9505,0.83377,0.37435,0.26493,0.8415,0.004456,0.004456,0.004456
30,15565.9,0.47984,0.41826,0.8796,0.93498,0.90894,0.95073,0.83443,0.37338,0.26309,0.84094,0.004258,0.004258,0.004258
31,16084.2,0.47966,0.41333,0.87964,0.93624,0.90883,0.95143,0.83717,0.37233,0.26174,0.84036,0.00406,0.00406,0.00406
32,16603.7,0.47669,0.41158,0.87993,0.93435,0.91188,0.95222,0.83887,0.37128,0.2601,0.83994,0.003862,0.003862,0.003862
33,17122.6,0.47118,0.40339,0.87765,0.93253,0.91321,0.9528,0.83912,0.37051,0.2582,0.83958,0.003664,0.003664,0.003664
34,17644.5,0.47001,0.39725,0.87679,0.93387,0.91165,0.95302,0.84078,0.36937,0.25621,0.83894,0.003466,0.003466,0.003466
35,18166.3,0.46507,0.39377,0.8739,0.93612,0.91273,0.95433,0.84286,0.3685,0.2546,0.83848,0.003268,0.003268,0.003268
36,18688.1,0.4622,0.3839,0.87383,0.93645,0.91323,0.9547,0.84452,0.36733,0.25256,0.83786,0.00307,0.00307,0.00307
37,19210.3,0.45924,0.37988,0.87208,0.94252,0.91014,0.95505,0.84544,0.36643,0.25068,0.83729,0.002872,0.002872,0.002872
38,19735.4,0.4569,0.37544,0.87147,0.94206,0.91405,0.95593,0.84587,0.36531,0.24897,0.83657,0.002674,0.002674,0.002674
39,20261.9,0.45244,0.37035,0.87031,0.93198,0.91888,0.95471,0.84691,0.36416,0.24669,0.836,0.002476,0.002476,0.002476
40,20786.8,0.44484,0.36217,0.86833,0.93389,0.92257,0.95568,0.84709,0.36312,0.24459,0.83536,0.002278,0.002278,0.002278
41,21335.3,0.41863,0.29748,0.85468,0.93312,0.92559,0.95662,0.84846,0.36209,0.24211,0.83472,0.00208,0.00208,0.00208
42,21851.2,0.41239,0.28785,0.85072,0.94826,0.91501,0.95999,0.85172,0.36081,0.23937,0.83384,0.001882,0.001882,0.001882
43,22365.2,0.40733,0.28112,0.8502,0.93658,0.92652,0.96088,0.85433,0.35938,0.23718,0.83304,0.001684,0.001684,0.001684
44,22879.1,0.40034,0.2723,0.84663,0.93979,0.9266,0.96255,0.85554,0.35815,0.23473,0.83235,0.001486,0.001486,0.001486
45,23394,0.39539,0.26338,0.84349,0.94267,0.92574,0.96081,0.85669,0.35694,0.23226,0.83152,0.001288,0.001288,0.001288
46,23910.2,0.38991,0.25493,0.84069,0.94371,0.92581,0.96356,0.85871,0.35578,0.23005,0.83077,0.00109,0.00109,0.00109
47,24427.8,0.3835,0.24692,0.83906,0.94283,0.92375,0.96461,0.86136,0.35461,0.22812,0.83005,0.000892,0.000892,0.000892
48,24946.1,0.37954,0.24385,0.83713,0.94522,0.92356,0.96218,0.86118,0.35332,0.22579,0.82928,0.000694,0.000694,0.000694
49,25464.6,0.37461,0.23814,0.83508,0.94514,0.92389,0.96258,0.86245,0.35212,0.22351,0.82851,0.000496,0.000496,0.000496
50,25985.8,0.37066,0.23249,0.83354,0.96895,0.90916,0.96297,0.86327,0.35114,0.22176,0.82788,0.000298,0.000298,0.000298
